Data Enterer Initials,Page Number,Date,Block Number,Tag Number,Acorn or seedling?,Acorn #,Treatment,Seedling Height (cm),# Leaves on Seedling,Number of Acorns That Germinated,Is Salvia apiana alive,Notes,Data Entered,QAQC,
MG & LS,14,11/09/2024,7,145,Acorn,NA,DT,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
MG & LS,14,11/09/2024,7,202,NR,NA,NR,0,0,NA,NA,Dead- brown leaves,Kenzie Boglin,Matthew Bohn-Montes,Where's the height?
MG & LS,14,11/09/2024,7,203,NR,NA,NR,13,20,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
MG & LS,14,11/09/2024,7,204,NR,NA,NR,37,90,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
KH & JV,15,11/09/2024,8,171,Seedling,NA,AC,20,0,NA,NA,No green leaves,Kenzie Boglin,Matthew Bohn-Montes,
KH & JV,15,11/09/2024,8,170,Seedling,NA,AC,6,0,NA,NA,No green leaves,Kenzie Boglin,Matthew Bohn-Montes,
KH & JV,15,11/09/2024,8,169,Seedling,NA,AC,13,0,NA,NA,No green leaves,Kenzie Boglin,Matthew Bohn-Montes,
KH & JV,15,11/09/2024,8,174,Acorn,NA,AC,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
KH & JV,15,11/09/2024,8,173,Acorn,NA,AC,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
KH & JV,15,11/09/2024,8,172,Acorn,NA,AC,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
KH & JV,15,11/09/2024,8,175,Seedling,NA,DT,12,0,NA,NA,No green leaves,Kenzie Boglin,Matthew Bohn-Montes,
KH & JV,15,11/09/2024,8,176,Acorn,NA,DT,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
KH & JV,15,11/09/2024,8,177,Seedling,NA,DT,12.5,0,NA,NA,No green leaves,Kenzie Boglin,Matthew Bohn-Montes,
KH & JV,15,11/09/2024,8,178,Acorn,NA,DT,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
KH & JV,15,11/09/2024,8,179,Seedling,NA,DT,0,0,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
KH & JV,16,11/09/2024,8,180,Acorn,NA,DT,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,I don't see this on the map?
KB & MB,17,11/09/2024,8,190,Acorn,1,SA,86.5,141,2,Missing,,Kenzie Boglin,Matthew Bohn-Montes,
KB & MB,17,11/09/2024,8,190,Acorn,2,SA,57,97,2,Missing,,Kenzie Boglin,Matthew Bohn-Montes,
KB & MB,17,11/09/2024,8,187,Acorn,1,SA,19.5,39,1,Yes,,Kenzie Boglin,Matthew Bohn-Montes,
KB & MB,17,11/09/2024,8,188,Acorn,1,SA,6,8,1,Missing,,Kenzie Boglin,Matthew Bohn-Montes,
KB & MB,17,11/09/2024,8,189,Seedling,NA,SA,9,0,NA,Missing,,Kenzie Boglin,Matthew Bohn-Montes,
KB & MB,17,11/09/2024,8,191,Seedling,NA,SA,8,0,NA,Missing,,Kenzie Boglin,Matthew Bohn-Montes,
KB & MB,17,11/09/2024,8,192,Seedling,NA,SA,26,63,NA,Missing,,Kenzie Boglin,Matthew Bohn-Montes,
KB & MB,17,11/09/2024,8,205,NR,NA,NR,52,56,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
AV & JS,18,11/09/2024,8,181,Seedling,NA,OA,11,0,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
AV & JS,18,11/09/2024,8,183,Seedling,NA,OA,4.5,0,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
AV & JS,18,11/09/2024,8,180,Seedling,NA,OA,14,19,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
AV & JS,18,11/09/2024,8,185,Acorn,NA,OA,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
AV & JS,18,11/09/2024,8,186,Acorn,NA,OA,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
AV & JS,18,11/09/2024,8,184,Acorn,NA,OA,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
AV & JS,18,11/09/2024,8,206,NR,NA,NR,44,38,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
AV & JS,18,11/09/2024,8,207,NR,NA,NR,24,62,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,19,11/16/2024,1,14,Acorn,1,SA,6.5,9,2,Missing,"A1 - crispy leaves, dying",Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,19,11/16/2024,1,14,Acorn,2,SA,7.3,12,2,Missing,,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,19,11/16/2024,1,16,Seedling,NA,SA,21,33,NA,Missing,,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,19,11/16/2024,1,18,Seedling,NA,SA,10.5,10,NA,Yes,,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,19,11/16/2024,1,17,Seedling,NA,SA,10.5,9,NA,Missing,,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,19,11/16/2024,1,15,Acorn,1,SA,0,0,0,Missing,,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,19,11/16/2024,1,13,Acorn,1,SA,0,0,0,Missing,,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,19,11/16/2024,1,19,Seedling,NA,AC,8.7,0,NA,NA,Dead,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,19,11/16/2024,1,20,Seedling,NA,AC,12.1,0,NA,NA,Dead,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,19,11/16/2024,1,21,Seedling,NA,AC,9.7,10,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,19,11/16/2024,1,23,Acorn,1,AC,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,19,11/16/2024,1,24,Acorn,1,AC,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,20,11/16/2024,1,22,Acorn,1,AC,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,20,11/16/2024,1,4,Acorn,1,DT,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,20,11/16/2024,1,6,Seedling,NA,DT,18.5,22,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,20,11/16/2024,1,2,Acorn,1,DT,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,20,11/16/2024,1,3,Seedling,NA,DT,8.6,0,NA,NA,Dead,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,20,11/16/2024,1,5,Acorn,1,DT,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,20,11/16/2024,1,1,Seedling,NA,DT,15,0,NA,NA,Dead,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,21,11/16/2024,1,9,Seedling,NA,OA,9,0,NA,NA,Dead - brown leaves ,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,21,11/16/2024,1,10,Acorn,1,OA,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,21,11/16/2024,1,7,Seedling,NA,OA,12,28,NA,NA,Near lots of Russian thistle,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,21,11/16/2024,1,11,Acorn,1,OA,15,15,2,NA,,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,21,11/16/2024,1,11,Acorn,2,OA,6,12,2,NA,,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,21,11/16/2024,1,12,Acorn,1,OA,22.5,9,3,NA,Dead weed (ragwort) invading its space,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,21,11/16/2024,1,12,Acorn,2,OA,18,12,3,NA,Dead weed (ragwort) invading its space,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,21,11/16/2024,1,12,Acorn,3,OA,13,21,3,NA,Dead weed (ragwort) invading its space,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,21,11/16/2024,1,8,Seedling,NA,OA,12.5,0,NA,NA,Surrounded by Russian thistle (no party hat),Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,22,11/16/2024,2,70,Seedling,NA,AC,5.8,4,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,22,11/16/2024,2,68,Acorn,1,AC,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,22,11/16/2024,2,69,Acorn,1,AC,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,22,11/16/2024,2,67,Acorn,1,AC,7.4,25,1,NA,,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,22,11/16/2024,2,71,Seedling,NA,AC,11.7,0,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,22,11/16/2024,2,72,Seedling,NA,AC,13.9,10,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,22,11/16/2024,2,51,Acorn,1,SA,0,0,0,Yes,Russian thistle invasion,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,22,11/16/2024,2,53,Seedling,NA,SA,11.2,0,NA,Yes,Russian thistle invasion,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,22,11/16/2024,2,52,Seedling,NA,SA,8.2,0,NA,Missing,Russian thistle invasion,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,22,11/16/2024,2,54,Seedling,NA,SA,7.7,0,NA,Missing,Russian thistle invasion,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,22,11/16/2024,2,49,Acorn,1,SA,9.7,0,1,Missing,Russian thistle invasion,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,23,11/16/2024,2,50,Acorn,1,SA,0,0,0,Missing,Russian thistle invasion,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,24,11/16/2024,2,59,Seedling,NA,OA,12,0,NA,NA,Dead,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,24,11/16/2024,2,60,Seedling,NA,OA,13,0,NA,NA,Dead,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,24,11/16/2024,2,58,Seedling,NA,OA,0,0,NA,NA,Missing,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,24,11/16/2024,2,57,Acorn,1,OA,16,27,1,NA,,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,24,11/16/2024,2,55,Acorn,1,OA,0,0,0,NA,Missing,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,24,11/16/2024,2,56,Acorn,1,OA,20,1,1,NA,Dying,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,24,11/16/2024,2,61,Acorn,1,DT,0,0,0,NA,Missing,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,24,11/16/2024,2,62,Seedling,NA,DT,11,0,NA,NA,Dead,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,24,11/16/2024,2,63,Acorn,1,DT,0,0,0,NA,Missing,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,24,11/16/2024,2,64,Seedling,NA,DT,22,0,NA,NA,Dead - Bee Hive!!,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,24,11/16/2024,2,65,Acorn,1,DT,0,0,0,NA,Missing,Kenzie Boglin,Matthew Bohn-Montes,
JS & BN,25,11/16/2024,2,66,Seedling,NA,DT,0,0,NA,NA,Missing,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,26,11/16/2024,3,25,Acorn,1,OA,15.5,0,3,NA,Russian thistle in section,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,26,11/16/2024,3,25,Acorn,2,OA,10.5,0,3,NA,Russian thistle in section,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,26,11/16/2024,3,25,Acorn,3,OA,6,0,3,NA,Russian thistle in section,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,26,11/16/2024,3,27,Acorn,1,OA,7,0,3,NA,,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,26,11/16/2024,3,27,Acorn,2,OA,6.5,0,3,NA,,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,26,11/16/2024,3,27,Acorn,3,OA,6,0,3,NA,,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,26,11/16/2024,3,26,Acorn,1,OA,17.5,24,1,NA,,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,26,11/16/2024,3,28,Seedling,NA,OA,11,0,NA,NA,Covered in Turkey mullein (croton setiger),Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,26,11/16/2024,3,29,Seedling,NA,OA,9.5,0,NA,NA,Lots of croton setiger,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,26,11/16/2024,3,30,Seedling,NA,OA,7.5,0,NA,NA,Lots of croton setiger and some thistle,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,26,11/16/2024,3,32,Acorn,1,AC,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,26,11/16/2024,3,31,Acorn,1,AC,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,26,11/16/2024,3,33,Acorn,1,AC,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,26,11/16/2024,3,34,Seedling,NA,AC,7,0,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,`
JV & MB,26,11/16/2024,3,35,Seedling,NA,AC,6.5,0,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
JV & MB,27,11/16/2024,3,36,Seedling,NA,AC,4,0,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,28,11/16/2024,3,48,Seedling,NA,SA,11.2,0,NA,Missing,,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,28,11/16/2024,3,46,Seedling,NA,SA,0,0,NA,Yes,Missing seeding,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,28,11/16/2024,3,47,Seedling,NA,SA,4.9,6,NA,Yes,,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,28,11/16/2024,3,45,Acorn,1,SA,3.9,4,3,Yes,,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,28,11/16/2024,3,45,Acorn,2,SA,7.1,5,3,Yes,,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,28,11/16/2024,3,45,Acorn,3,SA,2.5,3,3,Yes,,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,28,11/16/2024,3,43,Acorn,1,SA,7.3,0,1,Yes,Russian thistle invasion,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,28,11/16/2024,3,44,Acorn,1,SA,7.4,0,3,No,,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,28,11/16/2024,3,44,Acorn,2,SA,13.4,16,3,No,,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,28,11/16/2024,3,44,Acorn,3,SA,5.7,7,3,No,,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,28,11/16/2024,3,37,Seedling,NA,DT,56.6,62,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,28,11/16/2024,3,38,Acorn,1,DT,0,0,0,NA,Devil's trumpet flower invasion,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,28,11/16/2024,3,39,Seedling,NA,DT,0,0,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,28,11/16/2024,3,40,Acorn,1,DT,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,28,11/16/2024,3,41,Seedling,NA,DT,6.9,0,NA,NA,,Kenzie Boglin,Matthew Bohn-Montes,
KB & RM,29,11/16/2024,3,42,Acorn,1,DT,0,0,0,NA,,Kenzie Boglin,Matthew Bohn-Montes,