Data Enterer Initials,Page Number,Date,Block Number,Tag Number,Acorn or seedling?,Acorn #,Treatment,Seedling Height (cm),# Leaves on Seedling,Number of Acorns That Germinated,Is Salvia apiana alive,Notes,Data Entered,QAQC
KH & AA,1,1/25/2025,5,97,Seedling,NA,SA,21,15,NA,Yes,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,98,Seedling,NA,SA,8,0,NA,Missing,Dead,Kenzie Boglin,
KH & AA,1,1/25/2025,5,99,Seedling,NA,SA,0,0,NA,Missing,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,100,Acorn ,0,SA,0,0,0,Missing,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,101,Acorn ,0,SA,0,0,0,Missing,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,102,Acorn ,1,SA,4,7,2,Missing,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,102,Acorn ,2,SA,5,8,2,Missing,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,103,Acorn ,0,DT,0,0,0,NA,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,104,Seedling,NA,DT,18,0,NA,NA,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,105,Acorn ,0,DT,0,0,0,NA,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,106,Seedling,NA,DT,14,22,NA,NA,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,107,Acorn ,0,DT,0,0,0,NA,,Kenzie Boglin,
KH & AA,1,1/25/2025,5,108,Acorn ,NA,DT,17,0,NA,NA,,Kenzie Boglin,
KB & AV,2,1/25/2025,5,109,Acorn ,0,OA,12.4,17,0,NA,,Kenzie Boglin,
KB & AV,2,1/25/2025,5,110,Acorn ,1,OA,10.5,15,1,NA,Labeled acorn on tag but seedling on the list?,Kenzie Boglin,
,2,1/25/2025,5,111,Acorn ,1,OA,7.5,6,2,NA,A2 - Dead (4 cm),Kenzie Boglin,
KB & AV,2,1/25/2025,5,111,Acorn ,2,OA,4,0,2,NA,,Kenzie Boglin,
KB & AV,2,1/25/2025,5,112,Seedling,NA,OA,0,0,NA,NA,,Kenzie Boglin,
KB & AV,2,1/25/2025,5,113,Seedling,NA,OA,0,0,NA,NA,,Kenzie Boglin,
KB & AV,2,1/25/2025,5,114,Seedling,NA,OA,0,0,NA,NA,,Kenzie Boglin,
KB & AV,2,1/25/2025,5,115,Seedling,NA,AC,16,6,NA,NA,Holding on for dear life,Kenzie Boglin,
KB & AV,2,1/25/2025,5,116,Seedling,NA,AC,4.5,0,NA,NA,Dead,Kenzie Boglin,
KB & AV,2,1/25/2025,5,117,Seedling,NA,AC,6,0,NA,NA,,Kenzie Boglin,
KB & AV,2,1/25/2025,5,118,Acorn ,0,AC,0,0,0,NA,,Kenzie Boglin,
KB & AV,2,1/25/2025,5,119,Acorn ,0,AC,0,0,0,NA,,Kenzie Boglin,
KB & AV,2,1/25/2025,5,120,Acorn ,0,AC,0,0,0,NA,,Kenzie Boglin,
AV & JS,3,1/25/2025,6,121,Seedling,NA,DT,12.5,0,NA,NA,Dead,Kenzie Boglin,
AV & JS,3,1/25/2025,6,122,Acorn ,0,DT,0,0,0,NA,,Kenzie Boglin,
AV & JS,3,1/25/2025,6,123,Seedling,NA,DT,6,0,NA,NA,Dead,Kenzie Boglin,
AV & JS,3,1/25/2025,6,124,Acorn ,0,DT,0,0,0,NA,Missing,Kenzie Boglin,
AV & JS,3,1/25/2025,6,125,Seedling,NA,DT,0,0,NA,NA,,Kenzie Boglin,
AV & JS,3,1/25/2025,6,126,Acorn ,0,DT,12,0,0,NA,Dead,Kenzie Boglin,
AV & JS,3,1/25/2025,6,127,Acorn ,1,OA,17,18,2,NA,,Kenzie Boglin,
AV & JS,4,1/25/2025,6,127,Acorn ,2,OA,15.5,25,2,NA,,Kenzie Boglin,
AV & JS,3,1/25/2025,6,128,Acorn ,0,OA,0,0,0,NA,,Kenzie Boglin,
AV & JS,3,1/25/2025,6,129,Acorn ,1,OA,9,4,2,NA,,Kenzie Boglin,
AV & JS,4,1/25/2025,6,129,Acorn ,2,OA,12.5,10,2,NA,Partially dead,Kenzie Boglin,
AV & JS,3,1/25/2025,6,130,Seedling,NA,OA,19,12,NA,NA,,Kenzie Boglin,
AV & JS,3,1/25/2025,6,131,Seedling,NA,OA,12,0,NA,NA,Dead,Kenzie Boglin,
AV & JS,3,1/25/2025,6,199,NR,NA,NR,0,0,NA,NA,"Missing; tag there, sapling not",Kenzie Boglin,
AV & JS,3,1/25/2025,6,200,NR,NA,NR,45,200,NA,NA,,Kenzie Boglin,
AV & JS,3,1/25/2025,6,201,NR,NA,NR,0,0,NA,NA,"Cannot find, too much brush",Kenzie Boglin,
MB & SM,5,1/25/2025,6,132,Seedling,NA,OA,9,0,NA,NA,,Kenzie Boglin,
MB & SM,5,1/25/2025,6,133,Acorn ,0,AC,0,0,0,NA,,Kenzie Boglin,
MB & SM,5,1/25/2025,6,134,Acorn ,0,AC,0,0,0,NA,,Kenzie Boglin,
MB & SM,5,1/25/2025,6,135,Acorn ,1,AC,10,8,1,NA,,Kenzie Boglin,
MB & SM,5,1/25/2025,6,136,Seedling,NA,AC,10,0,NA,NA,Dead,Kenzie Boglin,
MB & SM,5,1/25/2025,6,137,Seedling,NA,AC,8.5,0,NA,NA,Dead,Kenzie Boglin,
MB & SM,5,1/25/2025,6,138,Seedling,NA,AC,7.5,0,0,NA,Dead,Kenzie Boglin,
MB & SM,5,1/25/2025,6,139,Acorn ,0,SA,0,0,0,Yes,,Kenzie Boglin,
MB & SM,5,1/25/2025,6,140,Acorn ,0,SA,0,0,0,Yes,,Kenzie Boglin,
MB & SM,5,1/25/2025,6,141,Acorn ,0,SA,0,0,0,Missing,,Kenzie Boglin,
MB & SM,5,1/25/2025,6,142,Seedling,NA,SA,7,0,NA,Missing,Dead,Kenzie Boglin,
MB & SM,5,1/25/2025,6,143,Seedling,NA,SA,19,0,NA,Missing,Dead,Kenzie Boglin,
MB & SM,5,1/25/2025,6,144,Seedling,NA,SA,13,0,NA,Missing,Dead,Kenzie Boglin,
KH & AA,6,1/25/2025,7,153,Acorn ,1,OA,0,0,1,NA,Dead :(,Kenzie Boglin,
KH & AA,6,1/25/2025,7,152,Acorn ,1,OA,6,0,1,NA,,Kenzie Boglin,
KH & AA,6,1/25/2025,7,151,Acorn ,0,OA,0,2,0,NA,,Kenzie Boglin,
KH & AA,6,1/25/2025,7,154,Seedling,NA,OA,12,0,NA,NA,Dead,Kenzie Boglin,
KH & AA,6,1/25/2025,7,156,Seedling,NA,OA,14,0,NA,NA,Dead,Kenzie Boglin,
KH & AA,6,1/25/2025,7,155,Seedling,NA,OA,18,0,NA,NA,Dead,Kenzie Boglin,
KH & AA,6,1/25/2025,7,150,Acorn ,0,DT,0,0,0,NA,,Kenzie Boglin,
KH & AA,6,1/25/2025,7,149,Seedling,NA,DT,0,0,NA,NA,,Kenzie Boglin,
KH & AA,6,1/25/2025,7,147,Acorn ,0,DT,0,0,0,NA,,Kenzie Boglin,
KH & AA,6,1/25/2025,7,146,Seedling,NA,DT,0,0,NA,NA,,Kenzie Boglin,
KH & AA,6,1/25/2025,7,145,Acorn ,0,DT,0,0,0,NA,,Kenzie Boglin,
KH & AA,6,1/25/2025,7,148,Seedling,NA,DT,0,0,NA,NA,Crushed by tree,Kenzie Boglin,
KH & AA,7,1/25/2025,7,204,NR,NA,NR,37,66,NA,NA,,Kenzie Boglin,
KH & AA,7,1/25/2025,7,203,NR,NA,NR,14,22,NA,NA,,Kenzie Boglin,
KH & AA,7,1/25/2025,7,202,NR,NA,NR,0,0,NA,NA,Missing/crushed,Kenzie Boglin,
MB & AV,8,1/25/2025,7,163,Acorn ,0,SA,0,0,0,Missing,,Kenzie Boglin,
MB & AV,8,1/25/2025,7,164,Acorn ,1,SA,10,0,1,Missing,Dead,Kenzie Boglin,
MB & AV,8,1/25/2025,7,165,Acorn ,0,SA,0,0,0,Missing,,Kenzie Boglin,
MB & AV,8,1/25/2025,7,166,Seedling,NA,SA,6,0,NA,Missing,Dead,Kenzie Boglin,
MB & AV,8,1/25/2025,7,167,Seedling,NA,SA,11,0,NA,Missing,Dead,Kenzie Boglin,
MB & AV,8,1/25/2025,7,168,Seedling,NA,SA,7,0,NA,Missing,Dead,Kenzie Boglin,
MB & AV,8,1/25/2025,7,160,Seedling,NA,AC,11,0,NA,No,Dead,Kenzie Boglin,
MB & AV,8,1/25/2025,7,159,Acorn ,1,AC,9.75,6,3,No,,Kenzie Boglin,
MB & AV,8,1/26/2025,,159,Acorn ,2,AC,16,8,3,No,,Kenzie Boglin,
MB & AV,8,1/27/2025,,159,Acorn ,3,AC,8,7,3,No,,Kenzie Boglin,
MB & AV,8,1/25/2025,7,161,Seedling,NA,AC,6.5,0,NA,No,Dead,Kenzie Boglin,
MB & AV,8,1/25/2025,7,157,Acorn ,0,AC,0,0,0,No,,Kenzie Boglin,
MB & AV,8,1/25/2025,7,158,Acorn ,0,AC,0,0,0,No,,Kenzie Boglin,
MB & AV,9,1/25/2025,7,162,Seedling,NA,AC,7,0,NA,No,,Kenzie Boglin,
SM & JS,10,1/25/2025,8,170,Seedling,NA,AC,0,0,NA,NA,,Kenzie Boglin,
SM & JS,10,1/25/2025,8,171,Seedling,NA,AC,0,0,NA,NA,,Kenzie Boglin,
SM & JS,10,1/25/2025,8,169,Seedling,NA,AC,11.5,2,NA,NA,Dead,Kenzie Boglin,
SM & JS,10,1/25/2025,8,172,Acorn ,0,AC,0,0,0,NA,Missing ,Kenzie Boglin,
SM & JS,10,1/25/2025,8,173,Acorn ,0,AC,0,0,0,NA,Missing ,Kenzie Boglin,
SM & JS,10,1/25/2025,8,174,Acorn ,0,AC,0,0,0,NA,Missing ,Kenzie Boglin,
SM & JS,10,1/25/2025,8,175,Seedling,NA,DT,10,5,NA,NA,Dead,Kenzie Boglin,
SM & JS,10,1/25/2025,8,176,Acorn ,0,DT,0,0,0,NA,Missing ,Kenzie Boglin,
SM & JS,10,1/25/2025,8,177,Seedling,NA,DT,10,0,NA,NA,Dead,Kenzie Boglin,
SM & JS,10,1/25/2025,8,178,Acorn ,0,DT,0,0,0,NA,Missing ,Kenzie Boglin,
SM & JS,10,1/25/2025,8,206,NR,NA,NR,42.5,0,NA,NA,Dead,Kenzie Boglin,
SM & JS,11,1/25/2025,8,179,Seedling,NA,DT,0,0,NA,NA,Didn't germinate ,Kenzie Boglin,
SM & JS,11,1/25/2025,8,181,Seedling,NA,OA,11,0,NA,NA,Dead,Kenzie Boglin,
SM & JS,11,1/25/2025,8,180,Seedling,NA,OA,13,20,NA,NA,,Kenzie Boglin,
SM & JS,11,1/25/2025,8,183,Seedling,NA,OA,4,0,NA,NA,Dead,Kenzie Boglin,
SM & JS,11,1/25/2025,8,185,Acorn ,0,OA,0,0,0,NA,Missing,Kenzie Boglin,
SM & JS,11,1/25/2025,8,184,Acorn ,0,OA,0,0,0,NA,Missing,Kenzie Boglin,
SM & JS,11,1/25/2025,8,186,Acorn ,0,OA,0,0,0,NA,Missing,Kenzie Boglin,
SM & JS,11,1/25/2025,8,187,Acorn ,1,SA,28,44,1,Yes,W/ healthy salvia ,Kenzie Boglin,
SM & JS,11,1/25/2025,8,190,Acorn ,1,SA,93,127,2,Missing,,Kenzie Boglin,
SM & JS,11,1/25/2025,8,190,Acorn ,2,SA,58.5,137,2,Missing,,Kenzie Boglin,
SM & JS,11,1/25/2025,8,188,Acorn ,1,SA,7.5,6,1,Missing,,Kenzie Boglin,
SM & JS,11,1/25/2025,8,189,Seedling,NA,SA,6,0,NA,Missing,,Kenzie Boglin,
SM & JS,11,1/25/2025,8,192,Seedling,NA,SA,30,71,NA,Missing,,Kenzie Boglin,
SM & JS,11,1/25/2025,8,191,Seedling,NA,SA,8,0,NA,Missing,Dead,Kenzie Boglin,
SM & JS,11,1/25/2025,8,205,NR,NA,NR,53.5,46,NA,NA,,Kenzie Boglin,
SM & JS,11,1/25/2025,8,207,NR,NA,NR,22.5,59,NA,NA,,Kenzie Boglin,
MB & BN,12,1/25/2025,1,1,Seedling,NA,DT,13,0,NA,NA,,Kenzie Boglin,
MB & BN,12,1/25/2025,1,2,Acorn ,0,DT,0,0,0,NA,Nothing ,Kenzie Boglin,
MB & BN,12,1/25/2025,1,3,Seedling,NA,DT,5,0,NA,NA,,Kenzie Boglin,
MB & BN,12,1/25/2025,1,4,Acorn ,0,DT,0,0,0,NA,,Kenzie Boglin,
MB & BN,12,1/25/2025,1,5,Acorn ,0,DT,0,0,0,NA,Nothing ,Kenzie Boglin,
MB & BN,12,1/25/2025,1,6,Seedling,NA,DT,19,29,NA,NA,,Kenzie Boglin,
MB & BN,12,1/25/2025,1,7,Seedling,NA,OA,12,19,NA,NA,,Kenzie Boglin,
MB & BN,12,1/25/2025,1,8,Seedling,NA,OA,6.5,0,NA,NA,Dead,Kenzie Boglin,
MB & BN,12,1/25/2025,1,9,Seedling,NA,OA,9,0,NA,NA,,Kenzie Boglin,
MB & BN,12,1/25/2025,1,10,Acorn ,0,OA,0,0,0,NA,,Kenzie Boglin,
MB & BN,12,1/25/2025,1,11,Acorn ,1,OA,17,14,2,NA,,Kenzie Boglin,
MB & BN,12,1/25/2025,,11,Acorn ,2,OA,5.9,20,2,NA,,Kenzie Boglin,
MB & BN,12,1/25/2025,1,12,Acorn ,1,OA,16.5,0,3,NA,,Kenzie Boglin,
MB & BN,12,1/25/2025,1,12,Acorn ,2,OA,13.7,0,3,NA,,Kenzie Boglin,
MB & BN,12,1/25/2025,1,12,Acorn ,3,OA,8.3,15,3,NA,,Kenzie Boglin,
MB & BN,12,1/25/2025,1,13,Acorn ,0,SA,0,0,0,Missing,,Kenzie Boglin,
JS,13,1/25/2025,1,14,Acorn ,1,SA,12,8,2,Missing,,Kenzie Boglin,
JS,13,1/25/2025,1,14,Acorn ,2,SA,18,0,2,Missing,A2 dead ,Kenzie Boglin,
JS,13,1/25/2025,1,15,Acorn ,0,SA,0,0,0,Missing,No germ,Kenzie Boglin,
JS,13,1/25/2025,1,16,Seedling,NA,SA,24,34,NA,Missing,,Kenzie Boglin,
JS,13,1/25/2025,1,17,Seedling,NA,SA,10,8,NA,Missing,,Kenzie Boglin,
JS,13,1/25/2025,1,18,Seedling,NA,SA,10,10,NA,Yes,"Crushed by a tree, Kenzie saved it!",Kenzie Boglin,
JS,13,1/25/2025,1,19,Seedling,NA,AC,8.5,0,NA,NA,Dead,Kenzie Boglin,
JS,13,1/25/2025,1,20,Seedling,NA,AC,9,0,NA,NA,Dead,Kenzie Boglin,
JS,13,1/25/2025,1,21,Seedling,NA,AC,7,0,NA,NA,Dead,Kenzie Boglin,
JS,13,1/25/2025,1,22,Acorn ,0,AC,0,0,0,NA,No germ ,Kenzie Boglin,
JS,13,1/25/2025,1,23,Acorn ,0,AC,0,0,0,NA,No germ ,Kenzie Boglin,
JS,13,1/25/2025,1,24,Acorn ,0,AC,0,0,0,NA,No germ ,Kenzie Boglin,
JS,13,1/25/2025,1,193,NR,NA,NR,6.5,0,NA,NA,"Missing, tag present",Kenzie Boglin,
JS,13,1/25/2025,1,194,NR,NA,NR,0,0,NA,NA,"Tag present, missing plant",Kenzie Boglin,
JS,13,1/25/2025,1,195,NR,NA,NR,0,0,NA,NA,Missing,Kenzie Boglin,
JS,14,1/25/2025,1,13,Acorn ,0,SA,0,0,0,Missing,No germ ,Kenzie Boglin,
MB & BN,15,1/25/2025,2,61,Acorn ,0,DT,0,0,0,NA,,Kenzie Boglin,
MB & BN,15,1/25/2025,2,62,Seedling,NA,DT,12.3,0,NA,NA,Dead,Kenzie Boglin,
MB & BN,15,1/25/2025,2,63,Acorn ,0,DT,0,0,0,NA,,Kenzie Boglin,
MB & BN,15,1/25/2025,2,64,Seedling,NA,DT,20.7,0,NA,NA,Dead,Kenzie Boglin,
MB & BN,15,1/25/2025,2,65,Acorn ,0,DT,0,0,0,NA,,Kenzie Boglin,
MB & BN,15,1/25/2025,2,66,Seedling,NA,DT,4.7,0,NA,NA,Dead,Kenzie Boglin,
MB & BN,15,1/25/2025,2,67,Acorn ,0,AC,0,0,0,NA,,Kenzie Boglin,
MB & BN,15,1/25/2025,2,68,Acorn ,0,AC,0,0,0,NA,,Kenzie Boglin,
MB & BN,15,1/25/2025,2,69,Acorn ,0,AC,0,0,0,NA,,Kenzie Boglin,
MB & BN,15,1/25/2025,2,70,Seedling,NA,AC,8.1,4,NA,NA,,Kenzie Boglin,
MB & BN,15,1/25/2025,2,71,Seedling,NA,AC,10,0,NA,NA,Dead,Kenzie Boglin,
MB & BN,15,1/25/2025,2,72,Seedling,NA,AC,11.5,10,NA,NA,Alive (barely),Kenzie Boglin,
JS & MB ,16,1/25/2025,2,49,Acorn ,1,SA,6,0,1,Missing,Dead,Kenzie Boglin,
JS & MB ,16,1/25/2025,2,50,Acorn ,0,SA,0,0,0,Missing,No germ,Kenzie Boglin,
JS & MB ,16,1/25/2025,2,51,Acorn ,0,SA,0,0,0,Yes,No germ,Kenzie Boglin,
JS & MB ,16,1/25/2025,2,52,Seedling,NA,SA,7,0,NA,Missing,Dead,Kenzie Boglin,
JS & MB ,16,1/25/2025,2,53,Seedling,NA,SA,8.5,0,NA,Missing,Dead,Kenzie Boglin,
JS & MB ,16,1/25/2025,2,54,Seedling,NA,SA,9.5,0,NA,Missing,Dead,Kenzie Boglin,
JS & MB ,16,1/25/2025,2,55,Acorn ,0,OA,0,0,0,NA,No germ,Kenzie Boglin,
JS & MB ,16,1/25/2025,2,56,Acorn ,1,OA,18,0,1,NA,Dead,Kenzie Boglin,
JS & MB ,16,1/25/2025,2,57,Acorn ,1,OA,15,0,1,NA,Dead,Kenzie Boglin,
JS & MB ,16,1/25/2025,2,58,Seedling,NA,OA,4,0,NA,NA,Dead,Kenzie Boglin,
JS & MB ,16,1/25/2025,2,59,Seedling,NA,OA,18,0,NA,NA,"Dead, no leaves",Kenzie Boglin,
JS & MB ,16,1/25/2025,2,60,Seedling,NA,OA,6,0,NA,NA,Dead,Kenzie Boglin,
MB & BN ,17,1/25/2025,3,37,Seedling,NA,DT,61,71,NA,NA,,Kenzie Boglin,
MB & BN ,17,1/25/2025,3,38,Acorn ,0,DT,0,0,0,NA,,Kenzie Boglin,
MB & BN ,17,1/25/2025,3,39,Seedling,NA,DT,0,0,NA,NA,Nothing there,Kenzie Boglin,
MB & BN ,17,1/25/2025,3,40,Acorn ,0,DT,0,0,0,NA,,Kenzie Boglin,
MB & BN ,17,1/25/2025,3,41,Seedling,NA,DT,6.5,0,NA,NA,,Kenzie Boglin,
MB & BN ,17,1/25/2025,3,42,Acorn ,0,DT,0,0,0,NA,Nothing,Kenzie Boglin,
MB & BN ,17,1/25/2025,3,43,Acorn ,1,SA,6,0,1,Yes,,Kenzie Boglin,
MB & BN ,17,1/25/2025,3,44,Acorn ,1,SA,7,0,3,Missing,,Kenzie Boglin,
MB & BN ,17,1/25/2025,3,44,Acorn ,2,SA,15,13,3,Missing,,Kenzie Boglin,
MB & BN ,17,1/25/2025,3,44,Acorn ,3,SA,7,8,3,Missing,,Kenzie Boglin,
MB & BN ,17,1/25/2025,3,45,Acorn ,1,SA,5,2,3,Yes,,Kenzie Boglin,
MB & BN ,17,1/25/2025,3,45,Acorn ,2,SA,6.5,8,3,Yes,,Kenzie Boglin,
MB & BN ,17,1/25/2025,3,45,Acorn ,3,SA,2.5,3,3,Yes,,Kenzie Boglin,
MB & BN ,17,1/25/2025,3,46,Seedling,NA,SA,0,0,NA,Yes,,Kenzie Boglin,
MB & BN ,17,1/25/2025,3,47,Seedling,NA,SA,5,0,NA,Yes,,Kenzie Boglin,
MB & BN ,17,1/25/2025,3,48,Seedling,NA,SA,10,0,NA,Missing,,Kenzie Boglin,
MB & BN ,17,1/25/2025,3,197,NR,NA,NR,43,52,NA,NA,,Kenzie Boglin,
JS,18,1/25/2025,3,25,Acorn ,1,OA,16,0,3,NA,All dead,Kenzie Boglin,
JS,18,1/25/2025,3,25,Acorn ,2,OA,9,21,3,NA,All Dead,Kenzie Boglin,
JS,18,1/25/2025,3,25,Acorn ,3,OA,8,0,3,NA,All dead,Kenzie Boglin,
JS,18,1/25/2025,3,26,Acorn ,1,OA,17,0,1,NA,,Kenzie Boglin,
JS,18,1/25/2025,3,27,Acorn ,1,OA,6,0,2,NA,All dead,Kenzie Boglin,
JS,18,1/25/2025,3,27,Acorn ,2,OA,6,0,2,NA,All dead,Kenzie Boglin,
JS,18,1/25/2025,3,28,Seedling,NA,OA,12.5,0,NA,NA,Dead,Kenzie Boglin,
JS,18,1/25/2025,3,29,Seedling,NA,OA,9,0,NA,NA,Dead,Kenzie Boglin,
JS,18,1/25/2025,3,30,Seedling,NA,OA,6.5,0,NA,NA,Dead,Kenzie Boglin,
JS,18,1/25/2025,3,31,Acorn ,0,AC,0,0,0,NA,No germ,Kenzie Boglin,
JS,18,1/25/2025,3,32,Acorn ,0,AC,0,0,0,NA,No germ,Kenzie Boglin,
JS,18,1/25/2025,3,33,Acorn ,0,AC,0,0,0,NA,No germ ,Kenzie Boglin,
JS,18,1/25/2025,3,34,Seedling,NA,AC,6,0,NA,NA,Dead,Kenzie Boglin,
JS,18,1/25/2025,3,35,Seedling,NA,AC,0,0,NA,NA," Missing, crushed by fallen branch",Kenzie Boglin,
JS,18,1/25/2025,3,36,Seedling,NA,AC,4,0,NA,NA,Dead,Kenzie Boglin,
JS,18,1/25/2025,3,196,NR,NA,NR,0,0,NA,NA,Missing ,Kenzie Boglin,
MB & BN,19,1/25/2025,4,73,Seedling,NA,AC,9,0,NA,NA,,Kenzie Boglin,
MB & BN,19,1/25/2025,4,74,Seedling,NA,AC,7.5,0,NA,NA,,Kenzie Boglin,
MB & BN,19,1/25/2025,4,75,Seedling,NA,AC,6,0,NA,NA,,Kenzie Boglin,
MB & BN,19,1/25/2025,4,76,Acorn ,0,AC,0,0,0,NA,,Kenzie Boglin,
MB & BN,19,1/25/2025,4,77,Acorn ,0,AC,0,0,0,NA,,Kenzie Boglin,
MB & BN,19,1/25/2025,4,78,Acorn ,0,AC,0,0,0,NA,,Kenzie Boglin,
MB & BN,19,1/25/2025,4,79,Seedling,NA,DT,0,0,NA,NA,Snails present ,Kenzie Boglin,
MB & BN,19,1/25/2025,4,80,Acorn ,0,DT,0,0,0,NA,,Kenzie Boglin,
MB & BN,19,1/25/2025,4,81,Seedling,NA,DT,5.5,0,NA,NA,,Kenzie Boglin,
MB & BN,19,1/25/2025,4,82,Acorn ,0,DT,0,0,0,NA,,Kenzie Boglin,
MB & BN,19,1/25/2025,4,83,Seedling,NA,DT,12.7,0,NA,NA,,Kenzie Boglin,
MB & BN,19,1/25/2025,4,84,Acorn ,0,DT,1.5,0,1,NA,,Kenzie Boglin,
JS & MT,20,1/25/2025,4,85,Acorn ,0,OA,0,0,0,NA,No germ,Kenzie Boglin,
JS & MT,20,1/25/2025,4,86,Acorn ,0,OA,0,0,0,NA,No germ,Kenzie Boglin,
JS & MT,20,1/25/2025,4,87,Acorn ,0,OA,0,0,0,NA,No germ,Kenzie Boglin,
JS & MT,20,1/25/2025,4,88,Seedling,NA,OA,0,0,NA,NA,Missing,Kenzie Boglin,
JS & MT,20,1/25/2025,4,89,Seedling,NA,OA,13,7,NA,NA,,Kenzie Boglin,
JS & MT,20,1/25/2025,4,90,Seedling,NA,OA,9,0,NA,NA,Dead,Kenzie Boglin,
JS & MT,20,1/25/2025,4,91,Acorn ,0,SA,0,0,0,Yes,"Big salvia, missing oak ",Kenzie Boglin,
JS & MT,20,1/25/2025,4,92,Acorn ,1,SA,14.5,22,1,No,,Kenzie Boglin,
JS & MT,20,1/25/2025,4,93,Acorn ,1,SA,3,0,1,No,Dead,Kenzie Boglin,
JS & MT,20,1/25/2025,4,94,Seedling,NA,SA,12.5,0,NA,No,Dead,Kenzie Boglin,
JS & MT,20,1/25/2025,4,95,Seedling,NA,SA,8,0,NA,Yes,Dead,Kenzie Boglin,
JS & MT,20,1/25/2025,4,96,Seedling,NA,SA,11,0,NA,No,Dead,Kenzie Boglin,