Page,Block,Tag,LifeStage,Basket,Planted,Treatment,Height_Winter,Leaves_Winter,Pg_Winter,Height_Spring,Leaves_Spring
5,1,1,Seedling,Yes,Yes,DT,12.5,7,2,15,14
5,1,3,Seedling,Yes,Yes,DT,2,2,2,15.5,5
5,1,6,Seedling,Yes,Yes,DT,13,7,2,14,12
5,1,7,Seedling,Yes,Yes,OA,10.5,14,2,12.5,16
5,1,8,Seedling,Yes,Yes,OA,8.5,8,2,10.5,13
5,1,9,Seedling,Yes,Yes,OA,7,3,2,6,5
5,1,16,Seedling,Yes,Yes,SA,8,16,2,11.5,26
5,1,17,Seedling,Yes,Yes,SA,8,7,1,7.5,6
5,1,18,Seedling,Yes,Yes,SA,6,7,1,11,10
5,1,19,Seedling,Yes,Yes,AC,10,15,1,8,20
5,1,20,Seedling,Yes,Yes,AC,8,13,1,10,16
5,1,21,Seedling,Yes,Yes,AC,7,6,1,7,10
4,3,28,Seedling,Yes,Yes,OA,6.5,7,3,6,6
4,3,29,Seedling,Yes,Yes,OA,9,5,3,10,8
4,3,30,Seedling,Yes,Yes,OA,7.5,3,3,7.5,8
4,3,34,Seedling,Yes,Yes,AC,9,7,3,7,7
4,3,35,Seedling,Yes,Yes,AC,6.5,4,3,6,4
4,3,36,Seedling,Yes,Yes,AC,3.5,1,3,3,1
4,3,37,Seedling,Yes,Yes,DT,8,5,4,11,7
4,3,39,Seedling,Yes,Yes,DT,5,5,4,4,5
4,3,41,Seedling,Yes,Yes,DT,4,2,4,3,10
4,3,46,Seedling,Yes,Yes,SA,5,2,4,4,2
4,3,47,Seedling,Yes,Yes,SA,5,7,4,4,6
4,3,48,Seedling,Yes,Yes,SA,13.5,5,4,13,5
3,2,52,Seedling,Yes,Yes,SA,9,7,7,8.5,18
3,2,53,Seedling,Yes,Yes,SA,7.5,5,7,6.5,15
3,2,54,Seedling,Yes,Yes,SA,8,20,7,8,19
3,2,58,Seedling,Yes,Yes,OA,8,3,7,7,2
3,2,59,Seedling,Yes,Yes,OA,13,7,8,10.5,5
3,2,60,Seedling,Yes,Yes,OA,10,14,7,12,13
3,2,62,Seedling,Yes,Yes,DT,8,7,8,8,9
3,2,64,Seedling,Yes,Yes,DT,6,6,8,8.5,12
3,2,66,Seedling,Yes,Yes,DT,4,5,8,2,5
3,2,70,Seedling,Yes,Yes,AC,7,4,5,6.5,4
3,2,71,Seedling,Yes,Yes,AC,12,10,5,12,8
3,2,72,Seedling,Yes,Yes,AC,11,8,5,9,7
2,4,73,Seedling,Yes,Yes,AC,12,15,10,14,9
2,4,74,Seedling,Yes,Yes,AC,7,5,10,5,5
2,4,75,Seedling,Yes,Yes,AC,7.5,12,10,7,8
2,4,79,Seedling,Yes,Yes,DT,7,2,9,7,5
2,4,81,Seedling,Yes,Yes,DT,6,5,9,5.5,4
2,4,83,Seedling,Yes,Yes,DT,8.5,8,9,7.5,8
2,4,88,Seedling,Yes,Yes,OA,4,6,9,5,6
2,4,89,Seedling,Yes,Yes,OA,11,3,9,11,8
2,4,90,Seedling,Yes,Yes,OA,10.5,2,9,9,3
2,4,94,Seedling,Yes,Yes,SA,12,5,8,11.5,5
2,4,95,Seedling,Yes,Yes,SA,9.5,13,8,8,16
2,4,96,Seedling,Yes,Yes,SA,11,7,8,9,10
1,5,97,Seedling,Yes,Yes,SA,16.5,18,12,23,23
1,5,98,Seedling,Yes,Yes,SA,9,7,12,8.5,7
1,5,99,Seedling,Yes,Yes,SA,8.5,8,12,6.5,7
1,5,104,Seedling,Yes,Yes,DT,25.5,10,12,23,8
1,5,106,Seedling,Yes,Yes,DT,20,24,12,21,30
1,5,108,Seedling,Yes,Yes,DT,17.5,10,12,17,13
1,5,109,Seedling,Yes,Yes,OA,12.5,15,11,13.5,11
1,5,110,Seedling,Yes,Yes,OA,12,8,12,11,9
1,5,111,Seedling,Yes,Yes,OA,9,7,11,9.5,7
1,5,115,Seedling,Yes,Yes,AC,16,7,11,15,7
1,5,116,Seedling,Yes,Yes,AC,18,13,11,16,14
1,5,117,Seedling,Yes,Yes,AC,13,6,11,12,6
6,6,121,Seedling,Yes,Yes,DT,15,12,13,15,12
6,6,123,Seedling,Yes,Yes,DT,7.5,10,13,7,9
6,6,125,Seedling,Yes,Yes,DT,4.5,8,13,4,6
6,6,130,Seedling,Yes,Yes,OA,17,13,13,18,14
6,6,131,Seedling,Yes,Yes,OA,12,13,13,10,18
6,6,132,Seedling,Yes,Yes,OA,9,7,14,7.5,9
6,6,136,Seedling,Yes,Yes,AC,11.5,19,14,11.5,18
6,6,137,Seedling,Yes,Yes,AC,9.5,7,14,8.0,6
6,6,138,Seedling,Yes,Yes,AC,6,5,14,3.5,5
6,6,142,Seedling,Yes,Yes,SA,8,3,15,9,7
6,6,143,Seedling,Yes,Yes,SA,20.5,10,15,24.0,10.0
6,6,144,Seedling,Yes,Yes,SA,12,14,15,17,18
7,7,146,Seedling,Yes,Yes,DT,7,4,19,7.5,4
7,7,148,Seedling,Yes,Yes,DT,11.5,7,19,12.5,8
7,7,149,Seedling,Yes,Yes,DT,7,6,19,7,6
7,7,154,Seedling,Yes,Yes,OA,12,8,17,13,16
7,7,155,Seedling,Yes,Yes,OA,16.5,7,17,19,12
7,7,156,Seedling,Yes,Yes,OA,15,7,18,15,29
7,7,160,Seedling,Yes,Yes,AC,12.5,10,17,15,10
7,7,161,Seedling,Yes,Yes,AC,8,4,17,9,4
7,7,162,Seedling,Yes,Yes,AC,10,8,17,8.5,10
7,7,166,Seedling,Yes,Yes,SA,7,7,18,7.5,4
7,7,167,Seedling,Yes,Yes,SA,12,4,18,13.5,4
7,7,168,Seedling,Yes,Yes,SA,10.5,6,18,10.5,7
8,8,169,Seedling,Yes,Yes,AC,13,5,21,11.5,5
8,8,170,Seedling,Yes,Yes,AC,8,7,21,5,7
8,8,171,Seedling,Yes,Yes,AC,22,6,21,23,9
8,8,175,Seedling,Yes,Yes,DT,9.5,7,21,9.5,7
8,8,177,Seedling,Yes,Yes,DT,7.5,3,21,10,5
8,8,179,Seedling,Yes,Yes,DT,8,5,21,0,0
8,8,180,Seedling,Yes,Yes,OA,3.5,4,19,5,9
8,8,181,Seedling,Yes,Yes,OA,6.5,4,19,7,4
8,8,183,Seedling,Yes,Yes,OA,3.5,2,19,3,4
8,8,189,Seedling,Yes,Yes,SA,3,3,18,4.5,5
8,8,191,Seedling,Yes,Yes,SA,8,6,18,5,6
8,8,192,Seedling,Yes,Yes,SA,20,17,18,16.5,16