Page Number,Block Number,Tag Number,Treatment,Seedlings,Germinated
2,1,2,DT,0,0
2,1,4,DT,0,0
2,1,5,DT,0,0
2,1,10,OA,0,0
2,1,11,OA,0,0
2,1,12,OA,1,1
1,1,13,SA,1,1
1,1,14,SA,0,0
1,1,15,SA,0,0
1,1,22,AC,0,0
1,1,23,AC,0,0
1,1,24,AC,0,0
3,3,25,OA,2,1
3,3,26,OA,0,0
3,3,27,OA,1,1
3,3,31,AC,0,0
3,3,33,AC,0,0
4,3,38,DT,0,0
4,3,40,DT,0,0
4,3,42,DT,0,0
4,3,43,SA,1,1
4,3,44,SA,2,1
4,3,45,SA,1,1
7,2,49,SA,0,0
7,2,50,SA,0,0
7,2,51,SA,0,0
7,2,55,OA,0,0
7,2,56,OA,1,1
7,2,57,OA,1,1
8,2,61,DT,0,0
8,2,63,DT,0,0
8,2,65,DT,0,0
5,2,67,AC,0,0
5,2,68,AC,0,0
5,2,69,AC,0,0
10,4,76,AC,0,0
10,4,77,AC,0,0
10,4,78,AC,0,0
10,4,80,DT,1,1
9,4,82,DT,0,0
9,4,84,DT,0,0
9,4,85,OA,0,0
9,4,86,OA,0,0
9,4,87,OA,0,0
8,4,91,SA,0,0
8,4,92,SA,0,0
8,4,93,SA,0,0
12,5,100,SA,0,0
12,5,101,SA,0,0
12,5,102,SA,1,1
12,5,103,DT,0,0
12,5,105,DT,0,0
12,5,107,DT,0,0
11,5,112,OA,0,0
11,5,113,OA,0,0
11,5,114,OA,0,0
11,5,118,AC,0,0
11,5,119,AC,1,1
11,5,120,AC,0,0
13,6,122,DT,0,0
13,6,124,DT,0,0
13,6,126,DT,0,0
13,6,127,OA,2,1
13,6,128,OA,0,0
13,6,129,OA,0,0
14,6,133,AC,0,0
14,6,134,AC,0,0
14,6,135,AC,0,0
15,6,139,SA,1,1
15,6,140,SA,0,0
15,6,141,SA,0,0
19,7,145,DT,0,0
19,7,147,DT,0,0
19,7,150,DT,0,0
17,7,151,OA,1,1
17,7,152,OA,1,1
17,7,153,OA,0,0
17,7,157,AC,0,0
17,7,158,AC,0,0
17,7,159,AC,3,1
18,7,163,SA,0,0
18,7,164,SA,0,0
18,7,165,SA,0,0
21,8,172,AC,0,0
21,8,173,AC,0,0
21,8,174,AC,0,0
21,8,176,DT,0,0
21,8,178,DT,0,0
22,8,182,DT,2,1
19,8,184,OA,0,0
19,8,185,OA,0,0
19,8,186,OA,0,0
18,7,187,SA,1,1
18,7,188,SA,1,1
18,7,190,SA,2,1