Page,Date,Block,Treatment,VWC1,PER1,VWC2,PER2,VWC3,PER3
1,45404,1,OA,17.4,1.35,20.3,1.427,15.1,1.352
1,45404,1,SA,16.2,1.369,17.6,1.389,18.3,1.397
1,45404,1,DT,18.6,1.401,5.6,1.194,7.8,1.233
1,45404,1,AC,17.9,1.392,15.3,1.352,18.2,1.397
1,45404,1,NR,18.4,1.399,,,,
1,45404,1,NR,20.4,1.429,,,,
1,45404,1,NR,9.9,1.267,,,,
1,45404,3,OA,15.9,1.362,16.4,1.369,13.7,1.329
1,45404,3,SA,10.2,1.275,10.4,1.279,12.9,1.316
1,45404,3,DT,20.3,1.426,10.6,1.277,13.3,1.322
1,45404,3,AC,15.8,1.359,14.8,1.344,14.9,1.345
1,45404,3,NR,11,1.285,,,,
1,45404,3,NR,15.1,1.348,,,,
1,45404,3,NR,14,1.33,,,,
1,45404,2,OA,6.5,1.208,11.3,1.294,10.1,1.276
1,45404,2,SA,16.2,1.368,11.1,1.294,6.9,1.218
1,45404,2,AC,7.2,1.221,7.8,1.234,6.09,1.2
1,45404,2,DT,20.1,1.434,14.8,1.346,20.5,1.429
1,45404,4,OA,13.4,1.33,16.4,1.377,3.6,1.166
1,45404,4,SA,11.4,1.298,26.9,1.534,28,1.564
1,45404,4,AC,17.7,1.397,15.2,1.359,12.6,1.318
1,45404,4,DT,23.4,1.482,29.3,1.569,18.2,1.405
1,45404,5,OA,17.1,1.388,11.9,1.309,17.6,1.397
1,45404,5,AC,7.5,1.232,4.1,1.169,8.6,1.251
1,45404,5,DT,12.5,1.316,9.2,1.261,11.8,1.303
2,4/22/24-4/23/24,5,SA,7.1,1.223,7.3,1.227,14.1,1.338
2,4/22/24-4/23/24,6,SA,17.4,1.39,11.6,1.299,9.9,1.273
2,4/22/24-4/23/24,6,AC,15.1,1.354,19.6,1.423,7.2,1.226
2,4/22/24-4/23/24,6,OA,5.5,1.194,10.5,1.282,9.2,1.26
2,4/22/24-4/23/24,6,DT,15.9,1.365,21.4,1.45,24.5,1.498
2,4/22/24-4/23/24,7,SA,9.8,1.274,7.9,1.241,6.3,1.214
2,4/22/24-4/23/24,7,AC,12,1.308,12.3,1.309,13.6,1.331
2,4/22/24-4/23/24,7,OA,18.4,1.411,14.9,1.359,11.4,1.299
2,4/22/24-4/23/24,7,DT,14.7,1.353,19.3,1.421,10,1.276
2,4/22/24-4/23/24,7,NR,13,1.326,,,,
2,4/22/24-4/23/24,7,NR,21.9,1.459,,,,
2,4/22/24-4/23/24,7,NR,18.9,1.414,,,,
2,4/22/24-4/23/24,8,AC,11.2,1.294,12.8,1.32,11.9,1.307
2,4/22/24-4/23/24,8,SA,10.1,1.278,9.9,1.276,9.8,1.272
2,4/22/24-4/23/24,8,OA,14.9,1.355,11.6,1.301,11.9,1.309
2,4/22/24-4/23/24,8,DT,20.9,1.444,17,1.386,22.7,1.47
2,4/22/24-4/23/24,8,NR,12.1,1.308,,,,
2,4/22/24-4/23/24,8,NR,10.8,1.285,,,,
2,4/22/24-4/23/24,8,NR,10.5,1.284,,,,
2,4/22/24-4/23/24,6,NR,10.7,1.285,,,,
2,4/22/24-4/23/24,6,NR,11.8,1.301,,,,
2,4/22/24-4/23/24,6,NR,13.3,1.326,,,,